"","V1","V2"
"1",5.1,3.5
"2",4.9,3
"3",4.7,3.2
"4",4.6,3.1
"5",5,3.6
"6",5.4,3.9
"7",4.6,3.4
"8",5,3.4
"9",4.4,2.9
"10",4.9,3.1
"11",5.4,3.7
"12",4.8,3.4
"13",4.8,3
"14",4.3,3
"15",5.4,3.9
"16",5.1,3.5
"17",5.1,3.8
"18",5.4,3.4
"19",5.1,3.7
"20",4.6,3.6
"21",5.1,3.3
"22",4.8,3.4
"23",5,3
"24",5,3.4
"25",5.2,3.5
"26",5.2,3.4
"27",4.7,3.2
"28",4.8,3.1
"29",5.4,3.4
"30",5.2,4.1
"31",5.5,4.2
"32",4.9,3.1
"33",5,3.2
"34",5.5,3.5
"35",4.9,3.6
"36",4.4,3
"37",5.1,3.4
"38",5,3.5
"39",4.5,2.3
"40",4.4,3.2
"41",5,3.5
"42",5.1,3.8
"43",4.8,3
"44",5.1,3.8
"45",4.6,3.2
"46",5.3,3.7
"47",5,3.3
